MD_ft,PickUp_Klbs,Slackoff_Klbs,Rotating_Klbs
1351,97,86,95
1478,100,88,97
1604,103,90,99
1731,106,92,101
1920,110,94,104
2046,112,96,106
2172,115,98,108
2361,122,99,109
2550,127,102,114
2676,130,102,115
2803,133,104,117
2929,136,106,119
3056,139,109,122
3182,142,111,124
3308,145,113,127
3434,148,115,129
3623,153,118,134
3812,158,122,135
4001,163,124,137
4128,165,126,139
4317,172,130,141
4442,175,132,143
4630,180,134,146
4819,187,135,152
5009,191,137,159
5123,195,138,160
