MD_ft;Incl_deg;Azi_deg;TVD_ft
0;0;0;0
18.5;0;0;18.5
214.86;0.69;300.18;214.8552537
394.03;0.54;294.96;394.0148953
576.17;0.36;295.38;576.1492028
708.31;0.32;296.46;708.2868737
893.73;0.41;294.45;893.703093
1077.94;0.48;308.97;1077.907584
1266.79;0.57;309.85;1266.749637
1390.32;0.26;96.33;1390.277951
1511.36;0.51;105.78;1511.315133
1633.89;0.61;117.72;1633.839307
1693.29;1.06;96.08;1693.232984
1753.05;3.34;89.02;1752.945077
1812.62;5.19;84.82;1812.347673
1871.78;6.15;82.89;1871.217594
1931.94;7.49;82.57;1930.95055
1992.27;8.56;80.34;1990.689031
2056.05;10.27;74.53;2053.608969
2118.92;12.28;74.15;2115.262429
2181.35;13.4;75.03;2176.130422
2240.97;14.57;76.32;2233.982365
2299.85;15.5;76.59;2290.84614
2363.19;16.52;76.01;2351.728644
2425.82;18.43;71.89;2411.467696
2487.87;20.26;69.3;2470.013023
2549.33;21.12;68.75;2527.508719
2611.85;23.23;64.81;2585.404421
2671.99;26.06;60.34;2640.06545
2732.05;28.88;56.49;2693.352712
2792.79;30.8;52.09;2746.043637
2852.22;31.92;47.18;2796.799364
2912.03;32.61;41.02;2847.387559
2973.22;31.86;34.39;2899.162244
3033.53;31.35;28.68;2950.538639
3096.87;31.22;24.54;3004.675013
3159.36;32.25;19.97;3057.829207
3218.41;31.47;13.62;3107.996666
3283.37;32.29;7.34;3163.172771
3346.75;32.97;2.2;3216.559608
3409.15;31.16;356.54;3269.450172
3471.81;31.39;349.99;3323.020437
3534.1;32.15;343.29;3375.993763
3598.86;32.63;336.24;3430.698124
3660.4;35.39;334.79;3481.707008
3733.47;37.73;334.31;3540.395324
3783.56;39.42;334.12;3579.55391
3846.48;41.63;333.93;3627.377873
3908.86;45.25;333.33;3672.66433
3975.81;48.27;332.9;3718.523624
4035.65;51.83;332.73;3756.941853
4097.08;55.19;334.19;3793.469241
4159.21;56.63;334.1;3828.29185
4222.76;59.44;334.47;3861.932004
4283.06;61.11;334.38;3891.829959
4345.42;64.23;334.17;3920.456844
4406.49;67.32;334.41;3945.512141
4464.58;70.79;334.98;3966.274643
4534.43;74.95;334.62;3986.843856
4567.92;75.18;334.46;3995.475001
4595.44;75.19;334.35;4002.511836
4657.29;74.81;334.33;4018.519765
4720.25;75.17;334.21;4034.825604
4785.02;77.91;334.59;4049.900504
4845.38;80.23;335.24;4061.344674
4907.54;82.83;335.32;4070.499532
4971.03;85.78;335.2;4076.799136
5032.74;85.58;334.82;4081.447568
5105;88.5;335;4085.178585
